datatype	path	id	label	definition	ui_label	ui_definition	help	minValue	maxValue	minLength	maxLength	pattern	format	preferred_unit
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03412507	enokitake as food source	Enoki mushrooms are cultivars of *Flammulina velutipes* also called golden needle mushroom.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03412023	field mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414536	forest lamb as food source	*Albatrellus ovinus* is a terrestrial polypore fungus found in western North America, and Northern Europe.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414542	golden chanterelle as food source	*Craterellus lutescens*, or *Cantharellus lutescens* or *Cantharellus xanthopus* or *Cantharellus aurora*, commonly known as Yellow Foot, is a species of mushroom.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414180	green oyster as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414253	gypsy mushroom as food source	Cortinarius caperatus, commonly known as the gypsy mushroom, is a highly esteemed edible mushroom of the genus Cortinarius found in northern regions of Europe and North America.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414541	horn of plenty as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414535	horse mushroom as food source	*Agaricus arvensis*, commonly known as the horse mushroom, is a mushroom of the genus *Agaricus*.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03412022	inky cap mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03412076	magic mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03413726	maitake mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03412074	milk mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03412074	FOODON:03412075	fenugreek milkcap as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03412074	FOODON:03412740	saffron milkcap as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414174	monkeyhead mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414173	nameko mushroom as food source	*Pholiota nameko*, commonly known as Nameko, is a small, amber-brown mushroom with a slightly gelatinous coating that is used as an ingredient in miso soup and nabemono.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03411632	oyster mushroom as food source	*Pleurotus* is a genus of gilled mushrooms which includes one of the most widely eaten mushrooms, *Pleurotus ostreatus*.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03411632	FOODON:03411645	abalone mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03411632	FOODON:03414552	golden oyster mushroom as food source	*Pleurotus citrinopileatus*, the golden oyster mushroom (tamogitake in Japanese), is an edible gilled fungus.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03411632	FOODON:03414177	grey oyster mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03411632	FOODON:03413743	king oyster mushroom as food source	*Pleurotus eryngii* (also known as king trumpet mushroom, French horn mushroom, king oyster mushroom, king brown mushroom, boletus of the steppes, trumpet royale) is an edible mushroom native to Mediterranean regions of Europe, the Middle East, and North Africa, but also grown in many parts of Asia.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03411632	FOODON:03413796	oyster mushroom as food source	*Pleurotus ostreatus*, the oyster mushroom, is a common edible mushroom.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03411632	FOODON:03414553	pink oyster mushroom as food source	*Pleurotus djamor*, commonly known as the pink oyster mushroom, is a species of fungus in the family $/I$Pleurotaceae.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287/FOODON:03411632	FOODON:03414172	white oyster mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414540	pale chanterelle as food source	*Cantharellus pallens* has sometimes been defined as a species in its own right, but it is normally considered to be just a variety (*Cantharellus cibarius* var.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414550	parasol mushroom as food source	The parasol mushroom (*Macrolepiota procera*) is a *basidiomycete* fungus with a large, prominent fruiting body resembling a parasol.										
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03412361	reishi mushroom as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414179	rooting shank as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03414181	shaggy inc cap as food source											
xmls:anyURI	/GENEPIO:0002106/GENEPIO:0001533/FOODON:00002381/FOODON:00001143/FOODON:00001287	FOODON:03411635	shiitake mushroom as food source	The shiitake (*Lentinula edodes*) is an edible mushroom native to East Asia, which is cultivated and consumed in many Asian countries.										
